title,alcohol,volume,savings,Savings,price,link,
Jack Daniel's Tennessee Whiskey,40.00%,375 mL ,,,$18.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/119743,
Gibson's Finest Rare 12 Year Old Whisky,40.00%,375 mL ,,,$18.45,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/139667,
Jack Daniel's Tennessee Whiskey,40.00%,1750 mL ,,,$74.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/182931,
Chivas Regal 18 Year Old Scotch Whisky,40.00%,750 mL ,,,$99.95,http://www.lcbo.com/lcbo/product/chivas-regal-18-year-old-scotch-whisky/582205,
Gibson's Finest Rare 12 Year Old Whisky,40.00%,1750 mL ,,,$66.95,http://www.lcbo.com/lcbo/product/gibson-s-finest-rare-12-year-old-whisky/200741,
Grant's Family Reserve Scotch Whisky,40.00%,1750 mL ,,,$60.60,http://www.lcbo.com/lcbo/product/grant-s-family-reserve-scotch-whisky/247056,
Oban 14 Year Old Single Malt Scotch Whisky,43.01%,750 mL ,,,$114.95,http://www.lcbo.com/lcbo/product/oban-14-year-old-single-malt-scotch-whisky/243824,
Jack Daniel's Tennessee Whiskey,40.00%,3000 mL ,,,$149.95,http://www.lcbo.com/lcbo/product/jack-daniel-s-tennessee-whiskey/517383,
Crown Royal Limited Edition Whisky,40.00%,750 mL ,,,$40.95,http://www.lcbo.com/lcbo/product/crown-royal-limited-edition-whisky/246603,
McClelland's Islay Single Malt Scotch Whisky,40.20%,750 mL ,,,$45.00,http://www.lcbo.com/lcbo/product/mcclelland-s-islay-single-malt-scotch-whisky/404160,
Alberta Springs Whisky (PET),40.00%,1750 mL ,,,$60.00,http://www.lcbo.com/lcbo/product/alberta-springs-whisky-pet/461434,
Royal Reserve Whisky (PET),40.00%,1750 mL ,,,$60.00,http://www.lcbo.com/lcbo/product/royal-reserve-whisky-pet/61564,
Bulleit Bourbon Frontier Whiskey,45.00%,750 mL ,,,$42.90,http://www.lcbo.com/lcbo/product/bulleit-bourbon-frontier-whiskey/54866,
Gibson's Finest Sterling Edition Whisky,40.00%,750 mL ,,,$28.95,http://www.lcbo.com/lcbo/product/gibson-s-finest-sterling-edition-whisky/189217,
Glenfiddich 18 Year Old Single Malt Scotch Whisky,40.20%,750 mL ,,,$179.95,http://www.lcbo.com/lcbo/product/glenfiddich-18-year-old-single-malt-scotch-whisky/530352,
